,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,Zc3h7a,Nrgn,Slc1a2,Plp1,Nrgn,Ly6h,Nrgn,Lrrc17,Lrrc17,Nap1l5,Celf2,Celf2,Ptgds,Celf2,Gm42418,Plp1,Plp1,Plp1,Hpca,Cst3,Camk1d,Celf2,Hpca,Gad1,Hpca,Ttr,Kcnn4,Ttr,Malat1,Slc6a3,Malat1,Lrrc17,Apoe,Clstn1,Nap1l5,Flywch2
1,mt-Co1,Egr1,Apoe,Mbp,Rab3a,Nptxr,Stmn1,Mbp,Nap1l5,Lrrc17,Meg3,Malat1,Apoe,Gm42418,Cmss1,Mbp,Malat1,Mbp,Tmsb4x,Ctss,Tmem56,Malat1,Celf2,Gm42418,Tmsb4x,Dbi,Iigp1,Enpp2,Lsamp,Ddc,Lsamp,Mbp,Zc3h7a,Egr1,Rpl37a,Ttyh1
2,Lrrc17,Stmn1,Cst3,Fth1,Calm2,Olfm1,Rab3a,mt-Co1,Bc1,Peg3,Gm42418,Ptprd,Apod,Gphn,Lars2,Fth1,Mbp,Fth1,Ppp3ca,Csf1r,Pcp4,Lsamp,Malat1,AY036118,Calm2,Nnat,Fermt3,Igfbp2,Gpc5,Slc18a2,Gpc5,Catsperd,Lrrc17,Calm2,Cdk5r2,Minos1
3,Slc7a13,Calm2,Atp1a2,Mal,Zc3h7a,Lypd1,Calm1,mt-Co2,Mbp,Bc1,Gphn,Dlg2,Atp1a2,Lars2,Gphn,Mobp,Pcdh9,Mal,Calm2,P2ry12,Prkcd,Rbfox1,Gm42418,Cmss1,Gm42418,Mt3,Cytl1,Bsg,Nrxn1,Cplx1,Nrxn1,Eef2,Spidr,Chgb,Galntl6,Ywhab
4,Gm48133,Atp1a1,Malat1,Mobp,Calm1,Bex2,Calm2,Spidr,Spidr,Impact,Cmss1,Nrg3,Cmss1,Cmss1,Ncdn,Mal,Fth1,Mobp,Nrgn,Hexb,Kcnip4,Meg3,Opcml,Lars2,Ppp3ca,Enpp2,Gm31363,1500015O10Rik,Trpm3,Dlk1,Macf1,Bc1,Gm36264,Nrgn,Malat1,Ncor1
5,Mmp25,Camk2n1,Slc1a3,Apod,Stmn1,Nsg2,Camk2n1,Plp1,Catsperd,Tuba1b,Lars2,Csmd1,Gm42418,AY036118,Ppp3ca,Apod,Mal,Lrrc17,Ppp3r1,C1qa,Ntng1,Dlg2,Gria1,Erbb4,Atp2b1,Ccdc153,Cyp1b1,Kl,Ntm,Aldh1a1,Celf2,Ckb,Psap,Cck,Macf1,Atp1b1
6,Acsm2,Snap25,Zc3h7a,Csrp1,Tmsb4x,Rtn1,Atp1a1,Bc1,mt-Co1,Catsperd,Malat1,Gm28928,Gm26870,Malat1,AY036118,Csrp1,Mobp,mt-Co2,Atp2b1,Ctsd,Plekhg1,Csmd1,Rbfox1,Nap1l5,Lars2,Apoe,Gm28652,Clic6,Rora,Snca,Trpm3,Myo3a,Aldoc,Slc1a2,Tuba1b,Kpna1
7,Gm32089,Calm1,Clu,Lrrc17,Camk2n1,Calm1,Egr1,Fth1,mt-Co2,Zwint,Cntnap2,Kcnip4,Ptn,Cdk8,Celf2,Scd2,Qk,mt-Co1,Crym,Cx3cr1,Tnnt1,Nrg3,Cpne7,Sst,Nrgn,Clu,Glt6d1,Ctsd,Npas3,Ret,Npas3,Spidr,Romo1,Erfe,Gm42654,Rab6a
8,4930593C16Rik,Slc17a7,Sparcl1,Car2,Filip1l,Nrgn,Snap25,mt-Co3,Myo3a,Vamp1,Snhg11,Kalrn,Gm19951,Meg3,Gm19951,Lrrc17,Pde4b,Csrp1,Ncdn,Tmsb4x,Igsf5,Nlgn1,Atp2b1,Gphn,Ppp3r1,AY036118,Gm33203,Cd63,Slc4a4,Th,Ctnnd2,Gnb1l,Sult4a1,3110035E14Rik,Cfl1,Rora
9,4930555A03Rik,Chn1,Aldoc,Scd2,Slc25a4,Itm2c,Cck,Myo3a,Sparc,Spidr,Cdk8,Nrxn3,Lars2,Camk1d,Cdk8,Car2,Neat1,Apod,Cck,C1qc,Rora,Negr1,Lsamp,Gad2,Cmss1,Zc3h7a,5031425F14Rik,Igf2,Slc1a2,Rab3c,Ntm,Sparcl1,Ptn,Tuba1b,Cmss1,Rpl13
10,Gm29099,Rab3a,Glul,Qdpr,Olfm1,Snca,Ppp3r1,Catsperd,Tbc1d22b,Gnas,Peg3,Nrxn1,Peak1,Gm19951,Olfm1,Mag,Mag,Mag,Fkbp1a,Zc3h7a,Gphn,Grm5,Grin2a,Atp1b1,Crym,Vim,Gm4035,Col9a3,Msi2,Slc10a4,Slc1a2,Ndufa5,Tuba1a,Syt1,Gm19951,Trpm3
11,Gm12962,Cck,Filip1l,Mag,Ubb,Atp2b4,Slc17a7,Nap1l5,Plp1,Nsg1,Fgf14,Meg3,Gphn,Peak1,Camk2b,Qdpr,Nkain2,Cnp,Neurod6,Laptm5,Il31ra,Grin2b,Lars2,Nrxn3,Neurod6,Hsp90aa1,Ighg2b,Psap,Atp1a2,Sv2c,Sox6,Nap1l5,Slc1a2,Hivep2,Peak1,Rpl27a
12,Gm47858,Ppp3r1,Lsamp,Cnp,Cck,Fkbp1a,Ckb,mt-Nd1,Otoa,Dynll2,Nap1l5,Phactr1,Malat1,Gm26561,Nrgn,mt-Co1,Plcl1,Gm20425,Ptk2b,Serinc3,Pdp1,Auts2,Ppp3ca,Serpini1,Gphn,Tubb4b,Gm32939,Hspa5,Macf1,Gap43,Luzp2,Gm36264,Atp5o,AC168977.1,Hsp90ab1,Mrpl51
13,Gm12195,Vsnl1,Gja1,mt-Co2,Slc17a7,Enc1,Slc25a4,mt-Atp6,Mobp,Tbc1d22b,Nrg3,Nrg1,Igfbp2,Il31ra,Ptk2b,Cnp,Celf2,Car2,Chn1,Tmem119,Atp2b1,Kcnip4,Meg3,Cdk8,Cck,Cmss1,Gm15991,Clu,Slc6a11,Sncg,Htra1,Ndrg2,Rpl37,Tspan7,Got1,Rpl36
14,Gm47990,Basp1,Gpc5,mt-Co1,Gabarapl1,Calm2,Vamp2,mt-Cytb,Ndrg2,Uqcrh,Rbfox1,Opcml,Mgp,Kcnip4,Malat1,mt-Co2,Apod,mt-Atp6,Itm2c,Sparc,Tcf7l2,Lrrtm4,Gria2,Nme7,Ncdn,Rsph1,Lrrc34,Rdh5,Luzp2,Zwint,Slc4a4,Tbc1d22b,Rpl38,Atp1a1,Rgs2,Gm12714
15,Gm26695,Clstn1,Mfge8,Gm20425,Rtn1,AY036118,Gabarapl1,Sparc,mt-Nd1,Gap43,Fam155a,Syt1,Gfap,Nrg1,Synpr,Gm20425,Gm20425,mt-Cytb,Slc17a7,C1qb,Pakap,Fam155a,Dlg2,Elavl2,Gria2,4933434E20Rik,Tnni2,Arl6ip1,Pitpnc1,Uchl1,Ptprz1,Cox4i1,Gpm6b,Cox14,Prkcb,Gm47432
16,Aplnr,3110035E14Rik,Ptn,Ptgds,Atp1a1,Ywhaz,Gapdh,mt-Nd4,mt-Co3,Otoa,Tenm2,Rbfox1,Camk1d,Cd44,Chn1,Qk,Enpp2,Qdpr,Camk2a,Selplg,Ptpn4,Nrg1,Cmss1,Slc6a1,Cdk8,Tuba1a,Ddx60,Dbi,Zbtb20,Gm42418,Pcdh9,Slc25a4,Rab1a,Rab6a,Ube2e3,Atxn10
17,Gm43293,Mef2c,Pla2g7,Gatm,Hspa8,Slc17a7,Camk2a,Otoa,Gm36264,Cend1,Pcdh9,Arpp21,Vtn,Nrg3,Adcy1,Ptgds,Cnp,Gatm,Atp1b1,Selenop,Ndrg4,Arpp21,Grm5,Cd44,Fkbp1a,Gm19935,Tspan8,Slc22a17,Pcdh9,Cmss1,Erbb4,Cst3,Sst,Ywhaz,Tsc22d3,Gm43796
18,Gm46411,Vamp2,Mt2,Ptma,Tuba1a,Hpcal4,Nme7,Mobp,Vps8,Mdh1,Gm19951,Fgf14,Myoc,Snhg11,Gria1,Myo3a,Gatm,mt-Nd4,Snca,mt-Co1,Atp2a2,Fgf14,Crym,Syt1,Gria1,Mlc1,Gm28772,Trpm3,Qk,Stmn2,Frmd4a,mt-Co3,mt-Co3,Atp6v1g2,Gm42418,Lrch1
19,Gm26627,Chgb,Gm26917,Cryab,Gapdh,Pgrmc1,Chgb,mt-Nd2,Aldoc,Scg2,Sgcz,Snhg11,Cdk8,Dlg2,Dgkh,Spidr,Qdpr,Cryab,Ppm1e,Itm2b,Rgs16,Erc2,Nrxn3,Gria1,Ptk2b,Gm19951,Gm47792,Cab39l,Gm3764,Tagln3,Gabrb1,Slc22a17,Mt3,Grin2b,Sult4a1,Ntm
